JOB_NUMBER,ITEM,OVERALL_LABEL_WIDTH,OVERALL_LABEL_LENGTH,SKU_SEQ,SKU_QUANTITY,RB,Color_Group,Group_SKU,Group_NATO,Fix_Orientation,Dimension_Group,Re_Qty,HEADER_VARIABLE_DATA|SKU_VALUE
ATO-52564931,ATV499566,39,68.5,1,450,TARGET,CG_22,1,1,0,DG_084,460,MADE IN CHINA|MACHINE WASH COLD WITH LIKE COLORS.|ONLY NON-CHLORINE BLEACH IF NEEDED.|DO NOT ADD FABRIC SOFTENER.|TUMBLE DRY LOW.|DO NOT IRON.|DO NOT DRY CLEAN.|||||1083204|S|041023997 F00311127 Q2/23
ATO-52564931,ATV499566,39,68.5,2,180,TARGET,CG_22,1,1,0,DG_084,190,MADE IN CHINA|MACHINE WASH COLD WITH LIKE COLORS.|ONLY NON-CHLORINE BLEACH IF NEEDED.|DO NOT ADD FABRIC SOFTENER.|TUMBLE DRY LOW.|DO NOT IRON.|DO NOT DRY CLEAN.|||||1083204|M|041023998 F00311127 Q2/23
ATO-52564931,ATV499566,39,68.5,3,265,TARGET,CG_22,1,1,0,DG_084,275,MADE IN CHINA|MACHINE WASH COLD WITH LIKE COLORS.|ONLY NON-CHLORINE BLEACH IF NEEDED.|DO NOT ADD FABRIC SOFTENER.|TUMBLE DRY LOW.|DO NOT IRON.|DO NOT DRY CLEAN.|||||1083204|XL|041024000 F00311127 Q2/23
ATO-52564931,ATV499566,39,68.5,4,340,TARGET,CG_22,1,1,0,DG_084,350,MADE IN CHINA|MACHINE WASH COLD WITH LIKE COLORS.|ONLY NON-CHLORINE BLEACH IF NEEDED.|DO NOT ADD FABRIC SOFTENER.|TUMBLE DRY LOW.|DO NOT IRON.|DO NOT DRY CLEAN.|||||1083204|XXL|041024001 F00311127 Q2/23
ATO-52605429,ATV509540,64,39,1,1030,TARGET,CG_22,1,1,0,DG_086,1040,SEE MFG|SEE MFG||||||||||SEE MFG|XS(4/5)
ATO-52605429,ATV509540,64,39,2,1750,TARGET,CG_22,1,1,0,DG_086,1760,SEE MFG|SEE MFG||||||||||SEE MFG|S(6/7)
ATO-52605429,ATV509540,64,39,3,2490,TARGET,CG_22,1,1,0,DG_086,2500,SEE MFG|SEE MFG||||||||||SEE MFG|M(8)
ATO-52605429,ATV509540,64,39,4,2880,TARGET,CG_22,1,1,0,DG_086,2890,SEE MFG|SEE MFG||||||||||SEE MFG|L(10/12)
ATO-52605429,ATV509540,64,39,5,1950,TARGET,CG_22,1,1,0,DG_086,1960,SEE MFG|SEE MFG||||||||||SEE MFG|XL(14)
ATO-52553718,ATV633409,29,40.4,1,50,AMERICAN EAGLE OUTFITTERS,CG_23,1,1,1,DG_087,60,HI-RISE|XXS
ATO-52553718,ATV633409,29,40.4,2,50,AMERICAN EAGLE OUTFITTERS,CG_23,1,1,1,DG_087,60,HI-RISE|XS
ATO-52553718,ATV633409,29,40.4,3,50,AMERICAN EAGLE OUTFITTERS,CG_23,1,1,1,DG_087,60,HI-RISE|S
ATO-52553718,ATV633409,29,40.4,4,50,AMERICAN EAGLE OUTFITTERS,CG_23,1,1,1,DG_087,60,HI-RISE|M
ATO-52553718,ATV633409,29,40.4,5,50,AMERICAN EAGLE OUTFITTERS,CG_23,1,1,1,DG_087,60,HI-RISE|L
ATO-52553718,ATV633409,29,40.4,6,50,AMERICAN EAGLE OUTFITTERS,CG_23,1,1,1,DG_087,60,HI-RISE|XL
ATO-52553718,ATV633409,29,40.4,7,50,AMERICAN EAGLE OUTFITTERS,CG_23,1,1,1,DG_087,60,HI-RISE|XXL
ATO-52624427,ATV633780,29,40.4,1,10,AMERICAN EAGLE OUTFITTERS,CG_23,1,1,1,DG_087,20,|S
ATO-52586310,ATV592009,44,65,1,500,ADIDAS (EUROPE),CG_24,1,1,1,DG_088,510,50|MADE IN THAILAND|32
ATO-52586310,ATV592009,44,65,2,5000,ADIDAS (EUROPE),CG_24,1,1,1,DG_088,5010,50|MADE IN THAILAND|36
ATO-52586310,ATV592009,44,65,3,5000,ADIDAS (EUROPE),CG_24,1,1,1,DG_088,5010,50|MADE IN THAILAND|40
ATO-52586310,ATV592009,44,65,4,500,ADIDAS (EUROPE),CG_24,1,1,1,DG_088,510,50|MADE IN THAILAND|44
ATO-52581712,ATV641553,30,29,1,4100,ACADEMY,CG_26,1,1,0,DG_091,4110,MADE IN CAMBODIA|S
ATO-52581712,ATV641553,30,29,2,7180,ACADEMY,CG_26,1,1,0,DG_091,7190,MADE IN CAMBODIA|M
ATO-52581712,ATV641553,30,29,3,8050,ACADEMY,CG_26,1,1,0,DG_091,8060,MADE IN CAMBODIA|L
ATO-52581712,ATV641553,30,29,4,5930,ACADEMY,CG_26,1,1,0,DG_091,5940,MADE IN CAMBODIA|XL
ATO-52581712,ATV641553,30,29,5,3570,ACADEMY,CG_26,1,1,0,DG_091,3580,MADE IN CAMBODIA|XXL
ATO-52586084,ATV615112,28,41,1,364,SALOMON,CG_27,1,1,0,DG_093,374,MADE IN BANGLADESH|XXL
ATO-52586084,ATV615112,28,41,2,2855,SALOMON,CG_27,1,1,0,DG_093,2865,MADE IN BANGLADESH|L
ATO-52586084,ATV615112,28,41,3,3521,SALOMON,CG_27,1,1,0,DG_093,3531,MADE IN BANGLADESH|M
ATO-52586084,ATV615112,28,41,4,2051,SALOMON,CG_27,1,1,0,DG_093,2061,MADE IN BANGLADESH|S
ATO-52586084,ATV615112,28,41,5,1420,SALOMON,CG_27,1,1,0,DG_093,1430,MADE IN BANGLADESH|XL
ATO-52586084,ATV615112,28,41,6,367,SALOMON,CG_27,1,1,0,DG_093,377,MADE IN BANGLADESH|XS
ATO-52576861,AT648772,28,36,1,265,Baleno,CG_28,1,1,1,DG_094,275,|110/56
ATO-52576861,AT648772,28,36,2,572,Baleno,CG_28,1,1,1,DG_094,582,|120/60
ATO-52576861,AT648772,28,36,3,711,Baleno,CG_28,1,1,1,DG_094,721,|130/64
ATO-52576861,AT648772,28,36,4,684,Baleno,CG_28,1,1,1,DG_094,694,|140/68
ATO-52576861,AT648772,28,36,5,592,Baleno,CG_28,1,1,1,DG_094,602,|150/72
ATO-52576861,AT648772,28,36,6,461,Baleno,CG_28,1,1,1,DG_094,471,|160/76
ATO-52576862,AT648772,28,36,1,194,Baleno,CG_28,1,1,1,DG_094,204,|110/56
ATO-52576862,AT648772,28,36,2,381,Baleno,CG_28,1,1,1,DG_094,391,|120/60
ATO-52576862,AT648772,28,36,3,450,Baleno,CG_28,1,1,1,DG_094,460,|130/64
ATO-52576862,AT648772,28,36,4,455,Baleno,CG_28,1,1,1,DG_094,465,|140/68
ATO-52576862,AT648772,28,36,5,411,Baleno,CG_28,1,1,1,DG_094,421,|150/72
ATO-52576862,AT648772,28,36,6,298,Baleno,CG_28,1,1,1,DG_094,308,|160/76
ATO-52576863,AT648772,28,36,1,199,Baleno,CG_28,1,1,1,DG_094,209,|110/56
ATO-52576863,AT648772,28,36,2,383,Baleno,CG_28,1,1,1,DG_094,393,|120/60
ATO-52576863,AT648772,28,36,3,495,Baleno,CG_28,1,1,1,DG_094,505,|130/64
ATO-52576863,AT648772,28,36,4,472,Baleno,CG_28,1,1,1,DG_094,482,|140/68
ATO-52576863,AT648772,28,36,5,411,Baleno,CG_28,1,1,1,DG_094,421,|150/72
ATO-52576863,AT648772,28,36,6,320,Baleno,CG_28,1,1,1,DG_094,330,|160/76
ATO-52576864,AT645530,28,36,1,265,Baleno,CG_29,1,1,1,DG_095,275,|110/56
ATO-52576864,AT645530,28,36,2,560,Baleno,CG_29,1,1,1,DG_095,570,|120/60
