ITEM,OVERALL_LABEL_WIDTH,OVERALL_LABEL_LENGTH,HEADER_VARIABLE_DATA|SKU_VALUE,SKU_SEQ,SKU_QUANTITY,RB,Color_Group,Group_SKU,Group_NATO,Fix_Orientation,JOB_NUMBER,Dimension_Group,Oracle_Batch
ATE655573A,34,50,HAY-53741386,1,996,DOREL,CG_03,1,1,0,HAY-53741386,DG_04,H900949
ATV428284,34,42,|XXS/TTP,1,20,ARC'TERYX_EQUIPMENT,CG_01,1,1,1,ATO-53717847,DG_02,H900949
ATV428284,34,42,|S/P,2,600,ARC'TERYX_EQUIPMENT,CG_01,1,1,1,ATO-53717847,DG_02,H900949
ATV428284,34,42,|M/M,3,900,ARC'TERYX_EQUIPMENT,CG_01,1,1,1,ATO-53717847,DG_02,H900949
ATV428284,34,42,|L/G,4,500,ARC'TERYX_EQUIPMENT,CG_01,1,1,1,ATO-53717847,DG_02,H900949
ATV428284,34,42,|XL/TG,5,500,ARC'TERYX_EQUIPMENT,CG_01,1,1,1,ATO-53717847,DG_02,H900949
ATV428292,34,42,|XS/TP,1,300,ARC'TERYX_EQUIPMENT,CG_01,1,1,1,ATO-53744039,DG_02,H900949
ATV428292,34,42,|S/P,2,1500,ARC'TERYX_EQUIPMENT,CG_01,1,1,1,ATO-53744039,DG_02,H900949
ATV428292,34,42,|M/M,3,3400,ARC'TERYX_EQUIPMENT,CG_01,1,1,1,ATO-53744039,DG_02,H900949
ATV428292,34,42,|L/G,4,3100,ARC'TERYX_EQUIPMENT,CG_01,1,1,1,ATO-53744039,DG_02,H900949
ATV428292,34,42,|XL/TG,5,1400,ARC'TERYX_EQUIPMENT,CG_01,1,1,1,ATO-53744039,DG_02,H900949
ATV428292,34,42,|XXL/TTG,6,400,ARC'TERYX_EQUIPMENT,CG_01,1,1,1,ATO-53744039,DG_02,H900949
ATV428292,34,42,|3XL/3TG,7,100,ARC'TERYX_EQUIPMENT,CG_01,1,1,1,ATO-53744039,DG_02,H900949
ATV639433,21,74,|S/P_SHORT/COURT,1,50,ARC'TERYX_EQUIPMENT,CG_01,1,1,1,ATO-53717839,DG_01,H900949
ATV639433,21,74,|M/M_SHORT/COURT,2,20,ARC'TERYX_EQUIPMENT,CG_01,1,1,1,ATO-53717839,DG_01,H900949
ATV639433,21,74,|L/G_SHORT/COURT,3,20,ARC'TERYX_EQUIPMENT,CG_01,1,1,1,ATO-53717839,DG_01,H900949
ATV639433,21,74,|M/M_TALL/LONG,4,20,ARC'TERYX_EQUIPMENT,CG_01,1,1,1,ATO-53717839,DG_01,H900949
ATV639433,21,74,|L/G_TALL/LONG,5,20,ARC'TERYX_EQUIPMENT,CG_01,1,1,1,ATO-53717839,DG_01,H900949
ATV639433,21,74,|XS/TP_REGULAR/RÉGULIER,6,5,ARC'TERYX_EQUIPMENT,CG_01,1,1,1,ATO-53717839,DG_01,H900949
ATV639433,21,74,|S/P_REGULAR/RÉGULIER,7,300,ARC'TERYX_EQUIPMENT,CG_01,1,1,1,ATO-53717839,DG_01,H900949
ATV639433,21,74,|M/M_REGULAR/RÉGULIER,8,300,ARC'TERYX_EQUIPMENT,CG_01,1,1,1,ATO-53717839,DG_01,H900949
ATV639433,21,74,|L/G_REGULAR/RÉGULIER,9,250,ARC'TERYX_EQUIPMENT,CG_01,1,1,1,ATO-53717839,DG_01,H900949
ATV639433,21,74,|XL/TG_REGULAR/RÉGULIER,10,100,ARC'TERYX_EQUIPMENT,CG_01,1,1,1,ATO-53717839,DG_01,H900949
ATV639433,21,74,|XXL/TTG_REGULAR/RÉGULIER,11,500,ARC'TERYX_EQUIPMENT,CG_01,1,1,1,ATO-53717839,DG_01,H900949
ATV510872,41,76,SEE_MFG|SEE_MFG||||||||||SEE_MFG|M,1,50,TARGET_STORES,CG_02,1,1,0,ATO-53744104,DG_03,H900949
ATV510872,41,76,SEE_MFG|SEE_MFG||||||||||SEE_MFG|L,2,150,TARGET_STORES,CG_02,1,1,0,ATO-53744104,DG_03,H900949
ATV510872,41,76,SEE_MFG|SEE_MFG||||||||||SEE_MFG|XL,3,70,TARGET_STORES,CG_02,1,1,0,ATO-53744104,DG_03,H900949
ATV510872,41,76,SEE_MFG|SEE_MFG||||||||||SEE_MFG|XXL,4,100,TARGET_STORES,CG_02,1,1,0,ATO-53744104,DG_03,H900949
ATE686809,31.4,22,HAY-53741384,1,3000,MARK'S_WORK_WAREHOUSE,CG_07,1,1,0,HAY-53741384,DG_09,H900971
ATV353392A,39,119.5,CANGEN|S2/S24/S38/S48|PAX4064|51122|AD21/002|M/M|AWY13707LD|471103450995,1,1400,GEORGE_CANADA,CG_05,1,1,0,ATO-53727631,DG_07,H900971
ATV353392A,39,119.5,CANGEN|S2/S24/S38/S48|PAX4064|51122|AD21/002|M/M|AWY13707LD|471103450995,1,20,GEORGE_CANADA,CG_05,1,1,0,ATO-53727701,DG_07,H900971
ATV353392A,39,100.5,CANGEN|S2/S24/S38/S48|PAX4064|51122|AD22/002|XS/TP|AWY13707LD||471103454497,1,110,GEORGE_CANADA,CG_05,1,1,0,ATO-53727641,DG_06,H900971
ATV353392A,39,100.5,S2/S24/S38/S48|PAX4064|51122|AD22/002|CANGEN|XS/TP|AWY13707LD||471103454497,1,20,GEORGE_CANADA,CG_05,1,1,0,ATO-53727700,DG_06,H900971
ATV509540,39,75.5,SEE_MFG|SEE_MFG||||||||||SEE_MFG|XS(4/5)|039054288_F16815918_Q2/23,1,50,TARGET_STORES,CG_04,1,1,0,ATO-53717014,DG_05,H900971
ATV509540,39,75.5,SEE_MFG|SEE_MFG||||||||||SEE_MFG|S(6/7)|039054289_F16815918_Q2/23,2,110,TARGET_STORES,CG_04,1,1,0,ATO-53717014,DG_05,H900971
ATV509540,39,75.5,SEE_MFG|SEE_MFG||||||||||SEE_MFG|M(8)|039054290_F16815918_Q2/23,3,160,TARGET_STORES,CG_04,1,1,0,ATO-53717014,DG_05,H900971
ATV509540,39,75.5,SEE_MFG|SEE_MFG||||||||||SEE_MFG|L(10/12)|039054291_F16815918_Q2/23,4,110,TARGET_STORES,CG_04,1,1,0,ATO-53717014,DG_05,H900971
ATV509540,39,75.5,SEE_MFG|SEE_MFG||||||||||SEE_MFG|XL(14)|039054292_F16815918_Q2/23,5,35,TARGET_STORES,CG_04,1,1,0,ATO-53717014,DG_05,H900971
ATV509540,39,75.5,SEE_MFG|SEE_MFG||||||||||SEE_MFG|XS(4/5)|039054300_F16815918_Q2/23,6,35,TARGET_STORES,CG_04,1,1,0,ATO-53717014,DG_05,H900971
ATV509540,39,75.5,SEE_MFG|SEE_MFG||||||||||SEE_MFG|S(6/7)|039054301_F16815918_Q2/23,7,150,TARGET_STORES,CG_04,1,1,0,ATO-53717014,DG_05,H900971
ATV509540,39,75.5,SEE_MFG|SEE_MFG||||||||||SEE_MFG|M(8)|039054302_F16815918_Q2/23,8,150,TARGET_STORES,CG_04,1,1,0,ATO-53717014,DG_05,H900971
ATV509540,39,75.5,SEE_MFG|SEE_MFG||||||||||SEE_MFG|L(10/12)|039054303_F16815918_Q2/23,9,150,TARGET_STORES,CG_04,1,1,0,ATO-53717014,DG_05,H900971
ATV509540,39,75.5,SEE_MFG|SEE_MFG||||||||||SEE_MFG|XL(14)|039054304_F16815918_Q2/23,10,50,TARGET_STORES,CG_04,1,1,0,ATO-53717014,DG_05,H900971
ATV526030,40,65,MADE_IN_INDONESIA|MEN'S|Non-Costco|S,1,200,"EDDIE_BAUER,_INC",CG_06,1,1,1,ATO-53756810,DG_08,H900971
ATV526030,40,65,MADE_IN_INDONESIA|MEN'S|Non-Costco|M,2,200,"EDDIE_BAUER,_INC",CG_06,1,1,1,ATO-53756810,DG_08,H900971
ATV526030,40,65,MADE_IN_INDONESIA|MEN'S|Non-Costco|L,3,200,"EDDIE_BAUER,_INC",CG_06,1,1,1,ATO-53756810,DG_08,H900971
ATV660196,30,48,AHST769-3|30-2307|面料_棉_100%|||||JS46|JS41A|JS03A|JS87|||||||SX04|PB03|GZ01|YT02|ZW05|3XL_190/104A,1,121,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764268,DG_10,H900972
ATV660196,30,48,AHST769-3|30-2307|面料_棉_100%|||||JS46|JS41A|JS03A|JS87|||||||SX04|PB03|GZ01|YT02|ZW05|4XL_195/108A,2,54,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764268,DG_10,H900972
ATV660196,30,48,AHST769-3|30-2307|面料_棉_100%|||||JS46|JS41A|JS03A|JS87|||||||SX04|PB03|GZ01|YT02|ZW05|L_175/92A,3,294,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764268,DG_10,H900972
ATV660196,30,48,AHST769-3|30-2307|面料_棉_100%|||||JS46|JS41A|JS03A|JS87|||||||SX04|PB03|GZ01|YT02|ZW05|M_170/88A,4,177,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764268,DG_10,H900972
ATV660196,30,48,AHST769-3|30-2307|面料_棉_100%|||||JS46|JS41A|JS03A|JS87|||||||SX04|PB03|GZ01|YT02|ZW05|XL_180/96A,5,337,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764268,DG_10,H900972
ATV660196,30,48,AHST769-3|30-2307|面料_棉_100%|||||JS46|JS41A|JS03A|JS87|||||||SX04|PB03|GZ01|YT02|ZW05|XXL_185/100A,6,191,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764268,DG_10,H900972
ATV660196,30,48,AHST769-2|30-2307|面料_棉_100%|||||JS46|JS41A|JS03A|JS87|||||||SX04|PB03|GZ01|YT02|ZW05|3XL_190/104A,1,105,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764267,DG_10,H900972
ATV660196,30,48,AHST769-2|30-2307|面料_棉_100%|||||JS46|JS41A|JS03A|JS87|||||||SX04|PB03|GZ01|YT02|ZW05|4XL_195/108A,2,55,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764267,DG_10,H900972
ATV660196,30,48,AHST769-2|30-2307|面料_棉_100%|||||JS46|JS41A|JS03A|JS87|||||||SX04|PB03|GZ01|YT02|ZW05|L_175/92A,3,242,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764267,DG_10,H900972
ATV660196,30,48,AHST769-2|30-2307|面料_棉_100%|||||JS46|JS41A|JS03A|JS87|||||||SX04|PB03|GZ01|YT02|ZW05|M_170/88A,4,147,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764267,DG_10,H900972
ATV660196,30,48,AHST769-2|30-2307|面料_棉_100%|||||JS46|JS41A|JS03A|JS87|||||||SX04|PB03|GZ01|YT02|ZW05|XL_180/96A,5,282,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764267,DG_10,H900972
ATV660196,30,48,AHST769-2|30-2307|面料_棉_100%|||||JS46|JS41A|JS03A|JS87|||||||SX04|PB03|GZ01|YT02|ZW05|XXL_185/100A,6,157,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764267,DG_10,H900972
ATV660196,30,48,AHST769-1|30-2307|面料_棉_100%|||||JS46|JS41A|JS03A|JS87|||||||SX04|PB03|GZ01|YT02|ZW05|3XL_190/104A,1,120,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764266,DG_10,H900972
ATV660196,30,48,AHST769-1|30-2307|面料_棉_100%|||||JS46|JS41A|JS03A|JS87|||||||SX04|PB03|GZ01|YT02|ZW05|4XL_195/108A,2,57,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764266,DG_10,H900972
ATV660196,30,48,AHST769-1|30-2307|面料_棉_100%|||||JS46|JS41A|JS03A|JS87|||||||SX04|PB03|GZ01|YT02|ZW05|L_175/92A,3,287,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764266,DG_10,H900972
ATV660196,30,48,AHST769-1|30-2307|面料_棉_100%|||||JS46|JS41A|JS03A|JS87|||||||SX04|PB03|GZ01|YT02|ZW05|M_170/88A,4,172,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764266,DG_10,H900972
ATV660196,30,48,AHST769-1|30-2307|面料_棉_100%|||||JS46|JS41A|JS03A|JS87|||||||SX04|PB03|GZ01|YT02|ZW05|XL_180/96A,5,328,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764266,DG_10,H900972
ATV660196,30,48,AHST769-1|30-2307|面料_棉_100%|||||JS46|JS41A|JS03A|JS87|||||||SX04|PB03|GZ01|YT02|ZW05|XXL_185/100A,6,186,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764266,DG_10,H900972
ATV660196,30,48,AHST393-3|30-2304|面料_棉_100%|||||JS46|JS41A|JS87|JS03A|||||||SX04|PB03|GZ01|YT02|ZW05|3XL_190/104A,1,402,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764262,DG_10,H900972
ATV660196,30,48,AHST393-3|30-2304|面料_棉_100%|||||JS46|JS41A|JS87|JS03A|||||||SX04|PB03|GZ01|YT02|ZW05|L_175/92A,2,793,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764262,DG_10,H900972
ATV660196,30,48,AHST393-3|30-2304|面料_棉_100%|||||JS46|JS41A|JS87|JS03A|||||||SX04|PB03|GZ01|YT02|ZW05|M_170/88A,3,522,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764262,DG_10,H900972
ATV660196,30,48,AHST393-3|30-2304|面料_棉_100%|||||JS46|JS41A|JS87|JS03A|||||||SX04|PB03|GZ01|YT02|ZW05|S_165/84A,4,101,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764262,DG_10,H900972
ATV660196,30,48,AHST393-3|30-2304|面料_棉_100%|||||JS46|JS41A|JS87|JS03A|||||||SX04|PB03|GZ01|YT02|ZW05|XL_180/96A,5,703,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764262,DG_10,H900972
ATV660196,30,48,AHST393-3|30-2304|面料_棉_100%|||||JS46|JS41A|JS87|JS03A|||||||SX04|PB03|GZ01|YT02|ZW05|XXL_185/100A,6,552,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764262,DG_10,H900972
ATV660196,30,48,AHST393-2|30-2304|面料_棉_100%|||||JS46|JS41A|JS87|JS03A|||||||SX04|PB03|GZ01|YT02|ZW05|3XL_190/104A,1,311,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764261,DG_10,H900972
ATV660196,30,48,AHST393-2|30-2304|面料_棉_100%|||||JS46|JS41A|JS87|JS03A|||||||SX04|PB03|GZ01|YT02|ZW05|L_175/92A,2,823,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764261,DG_10,H900972
ATV660196,30,48,AHST393-2|30-2304|面料_棉_100%|||||JS46|JS41A|JS87|JS03A|||||||SX04|PB03|GZ01|YT02|ZW05|M_170/88A,3,612,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764261,DG_10,H900972
ATV660196,30,48,AHST393-2|30-2304|面料_棉_100%|||||JS46|JS41A|JS87|JS03A|||||||SX04|PB03|GZ01|YT02|ZW05|S_165/84A,4,101,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764261,DG_10,H900972
ATV660196,30,48,AHST393-2|30-2304|面料_棉_100%|||||JS46|JS41A|JS87|JS03A|||||||SX04|PB03|GZ01|YT02|ZW05|XL_180/96A,5,733,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764261,DG_10,H900972
ATV660196,30,48,AHST393-2|30-2304|面料_棉_100%|||||JS46|JS41A|JS87|JS03A|||||||SX04|PB03|GZ01|YT02|ZW05|XXL_185/100A,6,492,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764261,DG_10,H900972
ATV660204,54,30,APLT009-4|30-2307|面料_棉73%_聚酯纤维27%|||||JS46|JS41A|JS87|JS03A|||||||SX05|PB03|GZ01|YT03|ZW05|3XL_190/104A,1,131,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_09,1,1,0,ATO-53764265,DG_13,H900974
ATV660204,54,30,APLT009-4|30-2307|面料_棉73%_聚酯纤维27%|||||JS46|JS41A|JS87|JS03A|||||||SX05|PB03|GZ01|YT03|ZW05|L_175/92A,2,883,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_09,1,1,0,ATO-53764265,DG_13,H900974
ATV660204,54,30,APLT009-4|30-2307|面料_棉73%_聚酯纤维27%|||||JS46|JS41A|JS87|JS03A|||||||SX05|PB03|GZ01|YT03|ZW05|M_170/88A,3,552,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_09,1,1,0,ATO-53764265,DG_13,H900974
ATV660204,54,30,APLT009-4|30-2307|面料_棉73%_聚酯纤维27%|||||JS46|JS41A|JS87|JS03A|||||||SX05|PB03|GZ01|YT03|ZW05|S_165/84A,4,221,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_09,1,1,0,ATO-53764265,DG_13,H900974
ATV660204,54,30,APLT009-4|30-2307|面料_棉73%_聚酯纤维27%|||||JS46|JS41A|JS87|JS03A|||||||SX05|PB03|GZ01|YT03|ZW05|XL_180/96A,5,823,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_09,1,1,0,ATO-53764265,DG_13,H900974
ATV660204,54,30,APLT009-4|30-2307|面料_棉73%_聚酯纤维27%|||||JS46|JS41A|JS87|JS03A|||||||SX05|PB03|GZ01|YT03|ZW05|XXL_185/100A,6,462,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_09,1,1,0,ATO-53764265,DG_13,H900974
ATV660204,30,57,AHST895-1|30-2307|面料_棉100%|||||JS46|JS41A|JS03A|JS98|||||||SX04|PB03|GZ01|YT04|ZW05|3XL_190/104A,1,40,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_09,1,1,0,ATO-53764493,DG_12,H900974
ATV660204,30,57,AHST895-1|30-2307|面料_棉100%|||||JS46|JS41A|JS03A|JS98|||||||SX04|PB03|GZ01|YT04|ZW05|4XL_195/108A,2,14,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_09,1,1,0,ATO-53764493,DG_12,H900974
ATV660204,30,57,AHST895-1|30-2307|面料_棉100%|||||JS46|JS41A|JS03A|JS98|||||||SX04|PB03|GZ01|YT04|ZW05|5XL_200/112A,3,14,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_09,1,1,0,ATO-53764493,DG_12,H900974
ATV660204,30,57,AHST895-1|30-2307|面料_棉100%|||||JS46|JS41A|JS03A|JS98|||||||SX04|PB03|GZ01|YT04|ZW05|L_175/92A,4,216,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_09,1,1,0,ATO-53764493,DG_12,H900974
ATV660204,30,57,AHST895-1|30-2307|面料_棉100%|||||JS46|JS41A|JS03A|JS98|||||||SX04|PB03|GZ01|YT04|ZW05|XL_180/96A,5,193,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_09,1,1,0,ATO-53764493,DG_12,H900974
ATV660204,30,57,AHST895-1|30-2307|面料_棉100%|||||JS46|JS41A|JS03A|JS98|||||||SX04|PB03|GZ01|YT04|ZW05|XXL_185/100A,6,100,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_09,1,1,0,ATO-53764493,DG_12,H900974
ATV660204,30,57,AHST895-1|30-2307|面料_棉100%|||||JS46|JS41A|JS03A|JS98|||||||SX04|PB03|GZ01|YT04|ZW05|S_165/84A,7,63,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_09,1,1,0,ATO-53764493,DG_12,H900974
ATV660204,30,57,AHST895-1|30-2307|面料_棉100%|||||JS46|JS41A|JS03A|JS98|||||||SX04|PB03|GZ01|YT04|ZW05|M_170/88A,8,178,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_09,1,1,0,ATO-53764493,DG_12,H900974
ATV660204,30,57,AHST895-1|30-2307|面料_棉100%|||||JS46|JS41A|JS03A|JS98|||||||SX04|PB03|GZ01|YT04|ZW05|XS_160/80A,9,14,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_09,1,1,0,ATO-53764493,DG_12,H900974
ATV660196,30,54,APLT009-2|30-2307|面料_棉73%_聚酯纤维27%|||||JS46|JS41A|JS87|JS03A|||||||SX05|PB03|GZ01|YT03|ZW05|3XL_190/104A,1,91,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764263,DG_11,H900995
ATV660196,30,54,APLT009-2|30-2307|面料_棉73%_聚酯纤维27%|||||JS46|JS41A|JS87|JS03A|||||||SX05|PB03|GZ01|YT03|ZW05|L_175/92A,2,632,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764263,DG_11,H900995
ATV660196,30,54,APLT009-2|30-2307|面料_棉73%_聚酯纤维27%|||||JS46|JS41A|JS87|JS03A|||||||SX05|PB03|GZ01|YT03|ZW05|M_170/88A,3,392,LI_NING_(CHINA)_SPORTS_GOODS_CO_LTD,CG_08,1,1,0,ATO-53764263,DG_11,H900995
